3,2459607
12,2459527
21,2459543
67,2459558
66,2459550
93,2459559
30,2459521
39,2459565
57,2459558
38,2459588
47,2459522
56,2459587
65,2459554
2,2459533
10,2459571
28,2459573
37,2459583
74,2459555
83,2459546
92,2459556
1,2459523
82,2459517
91,2459531
9,2459532
46,2459566
55,2459487
73,2459573
54,2459549
27,2459559
36,2459588
26,2459562
35,2459509
44,2459573
53,2459598
99,2459506
7,2459524
16,2459546
62,2459522
89,2459582
15,2459514
24,2459542
70,2459522
79,2459530
88,2459534
87,2459559
96,2459570
5,2459517
60,2459503
50,2459537
59,2459598
77,2459541
23,2459547
32,2459578
31,2459576
4,2459583
13,2459560
52,2459562
61,2459519
