94,117,32,2459497,2459499
3,222,47,2459580,2459596
12,124,28,2459513,2459516
21,237,23,2459530,2459536
58,192,12,2459580,2459581
67,170,39,2459551,2459572
76,138,17,2459533,2459535
85,134,38,2459490,2459491
66,244,8,2459534,2459536
75,205,24,2459507,2459521
84,37,45,2459561,2459580
93,232,40,2459557,2459559
30,100,15,2459493,2459502
39,18,48,2459555,2459562
48,220,5,2459521,2459525
57,122,23,2459549,2459559
38,187,25,2459579,2459589
47,41,18,2459516,2459520
56,184,25,2459574,2459595
65,188,40,2459549,2459554
2,52,37,2459514,2459527
11,146,24,2459509,2459519
20,238,33,2459517,2459532
29,71,11,2459507,2459523
10,192,50,2459569,2459577
19,171,19,2459546,2459567
28,174,50,2459566,2459568
37,27,10,2459563,2459571
74,203,1,2459540,2459561
83,183,31,2459525,2459535
92,51,30,2459542,2459551
1,15,3,2459507,2459524
82,122,16,2459508,2459517
91,108,19,2459508,2459519
100,45,16,2459556,2459560
9,24,13,2459507,2459526
46,103,38,2459557,2459571
55,68,49,2459485,2459489
64,182,45,2459566,2459585
73,207,25,2459570,2459587
54,155,7,2459530,2459541
63,142,41,2459497,2459514
72,105,44,2459535,2459545
81,118,49,2459546,2459558
18,86,32,2459497,2459507
27,128,1,2459552,2459569
36,247,42,2459568,2459574
45,245,20,2459503,2459512
26,12,43,2459560,2459564
35,208,19,2459505,2459520
44,160,20,2459552,2459560
53,215,25,2459579,2459587
90,175,50,2459498,2459518
99,222,6,2459504,2459524
8,10,2,2459577,2459589
17,133,40,2459522,2459542
98,92,11,2459546,2459551
7,178,42,2459520,2459521
16,83,47,2459528,2459546
25,60,9,2459571,2459572
62,116,13,2459503,2459517
71,81,37,2459511,2459515
80,77,46,2459555,2459563
89,100,3,2459571,2459576
6,69,40,2459537,2459548
15,72,9,2459499,2459518
24,68,11,2459515,2459529
33,16,1,2459496,2459511
70,162,35,2459519,2459520
79,180,34,2459507,2459522
88,45,48,2459524,2459544
97,35,7,2459525,2459527
78,179,7,2459494,2459512
87,30,38,2459558,2459563
96,8,39,2459556,2459558
5,224,34,2459505,2459510
42,22,45,2459484,2459492
51,61,43,2459548,2459553
60,8,47,2459486,2459492
69,87,1,2459567,2459580
50,92,16,2459529,2459542
59,107,43,2459576,2459594
68,164,4,2459482,2459502
77,8,38,2459537,2459550
14,248,7,2459551,2459572
23,207,11,2459538,2459549
32,198,3,2459557,2459569
41,154,25,2459556,2459569
22,206,21,2459492,2459501
31,229,40,2459563,2459578
40,190,36,2459533,2459549
49,34,11,2459579,2459592
86,89,47,2459509,2459521
95,101,12,2459504,2459520
4,242,4,2459565,2459582
13,234,5,2459556,2459570
34,20,20,2459532,2459553
43,143,23,2459515,2459529
52,29,34,2459540,2459561
61,67,46,2459500,2459511
